comparison of the two following files
reference video: ../case_1_ref_video.mp4
video to be compared to reference: packet_loss_simulation_769_8video.mp4
mse_avg: 918.230354659
nrsme_avg: 0.14233341732
psnr_avg: 25.7027967872
ssim_avg: 0.780832854222
last frame which could be compared: 600
['frame_num', 'MSE', 'NRSME', 'PSNR', 'SSIM']
0,0.0,0.0,0.0,50.0,1.0
0,1.0,0.0,0.0,50.0,1.0
0,2.0,0.0,0.0,50.0,1.0
0,3.0,0.0,0.0,50.0,1.0
0,4.0,0.0,0.0,50.0,1.0
0,5.0,0.0,0.0,50.0,1.0
0,6.0,0.0,0.0,50.0,1.0
0,7.0,0.0,0.0,50.0,1.0
0,8.0,0.0,0.0,50.0,1.0
0,9.0,0.0,0.0,50.0,1.0
0,10.0,0.0,0.0,50.0,1.0
0,11.0,0.0,0.0,50.0,1.0
0,12.0,0.0,0.0,50.0,1.0
0,13.0,0.0,0.0,50.0,1.0
0,14.0,0.0,0.0,50.0,1.0
0,15.0,0.0,0.0,50.0,1.0
0,16.0,0.0,0.0,50.0,1.0
0,17.0,0.0,0.0,50.0,1.0
0,18.0,0.0,0.0,50.0,1.0
0,19.0,0.0,0.0,50.0,1.0
0,20.0,0.0,0.0,50.0,1.0
0,21.0,0.0,0.0,50.0,1.0
0,22.0,0.0,0.0,50.0,1.0
0,23.0,0.0,0.0,50.0,1.0
0,24.0,0.0,0.0,50.0,1.0
0,25.0,0.0,0.0,50.0,1.0
0,26.0,0.0,0.0,50.0,1.0
0,27.0,0.0,0.0,50.0,1.0
0,28.0,0.0,0.0,50.0,1.0
0,29.0,0.0,0.0,50.0,1.0
0,30.0,0.0,0.0,50.0,1.0
0,31.0,0.0,0.0,50.0,1.0
0,32.0,0.0,0.0,50.0,1.0
0,33.0,0.0,0.0,50.0,1.0
0,34.0,0.0,0.0,50.0,1.0
0,35.0,0.0,0.0,50.0,1.0
0,36.0,14.396933352623456,0.015965417936492008,36.548103666801495,0.9922776700769577
0,37.0,14.350212191358025,0.015939508204516287,36.562220379961865,0.992289909321288
0,38.0,14.352691936728394,0.015940889771006703,36.56146997524411,0.9922896638342549
0,39.0,14.355351080246914,0.01594235895377876,36.560665426247645,0.9922891567694545
0,40.0,14.35789207175926,0.015943741080745973,36.559896764491526,0.9922904733727265
0,41.0,0.0,0.0,50.0,1.0
0,42.0,0.0,0.0,50.0,1.0
0,43.0,0.0,0.0,50.0,1.0
0,44.0,0.0,0.0,50.0,1.0
0,45.0,0.0,0.0,50.0,1.0
0,46.0,0.0,0.0,50.0,1.0
0,47.0,0.0,0.0,50.0,1.0
0,48.0,0.0,0.0,50.0,1.0
0,49.0,0.0,0.0,50.0,1.0
0,50.0,0.0,0.0,50.0,1.0
0,51.0,1679.9971069637345,0.17577254960871594,15.877718270175045,0.9362701926260052
0,52.0,1412.2092491319445,0.16275258928133193,16.631813093288837,0.9413125493475311
0,53.0,1205.3490933641976,0.15309154968477967,17.319675153138164,0.9449640220784251
0,54.0,1188.6741280864198,0.15178417574583436,17.380175506322058,0.9449238409380568
0,55.0,925.4237601273148,0.13527036486765767,18.467397151100048,0.9510671779046259
0,56.0,0.0,0.0,50.0,1.0
0,57.0,0.0,0.0,50.0,1.0
0,58.0,0.0,0.0,50.0,1.0
0,59.0,0.0,0.0,50.0,1.0
0,60.0,0.0,0.0,50.0,1.0
0,61.0,718.601746720679,0.12465325633911425,19.565920923490843,0.9147672083531184
0,62.0,503.82423900462965,0.10587032221056848,21.108013032780086,0.9260912193428422
0,63.0,359.0174701003086,0.08990319869956562,22.57964778630649,0.9361817760670773
0,64.0,233.31376157407408,0.07289601968359634,24.451400052742404,0.9477434199214244
0,65.0,131.02297116126545,0.054945948319993956,26.957329173189915,0.9616233970809115
0,66.0,0.0,0.0,50.0,1.0
0,67.0,0.0,0.0,50.0,1.0
0,68.0,0.0,0.0,50.0,1.0
0,69.0,0.0,0.0,50.0,1.0
0,70.0,0.0,0.0,50.0,1.0
0,71.0,0.0,0.0,50.0,1.0
0,72.0,0.0,0.0,50.0,1.0
0,73.0,0.0,0.0,50.0,1.0
0,74.0,0.0,0.0,50.0,1.0
0,75.0,0.0,0.0,50.0,1.0
0,76.0,3.1312876157407405,0.008582432222645889,43.17357400503531,0.9903848275386866
0,77.0,5.516036844135803,0.011306897916512118,40.71453202502708,0.987870001034329
0,78.0,8.88539351851852,0.014231531322408108,38.64403694158602,0.985239929007046
0,79.0,13.186201774691359,0.01723595649022349,36.929606438539324,0.9835845285799113
0,80.0,0.0,0.0,50.0,1.0
0,81.0,6.486787712191358,0.011898584472246563,40.01050675506275,0.996962693517557
0,82.0,0.0,0.0,50.0,1.0
0,83.0,0.0,0.0,50.0,1.0
0,84.0,0.0,0.0,50.0,1.0
0,85.0,52.9436255787037,0.03301891678291496,30.892666824044646,0.9750931889192926
